run	success	duration	cost	LI__ICGIM_Vmax	LI__ICGIM_Km	LI__ICGLI2CA_Vmax	LI__ICGLI2CA_Km	LI__ICGLI2BI_Vmax	message	x	x0
49	True	20.443375825881958	27.252255890809895	0.028715733911530223	0.018000165104931493	0.018434663873008066	0.9999858000072369	0.00011552985964793554	`ftol` termination condition is satisfied.	"[2.87157339e-02 1.80001651e-02 1.84346639e-02 9.99985800e-01
 1.15529860e-04]"	"[9.83781366e+01 3.27695036e-03 2.72198945e-03 7.02357769e+03
 9.23899926e-01]"
149	True	101.53748393058777	27.25333489995947	0.8918304595900197	0.5793893300382394	0.0012681789593875048	0.029347310145000322	0.00011582554624021758	Both `ftol` and `xtol` termination conditions are satisfied.	"[8.91830460e-01 5.79389330e-01 1.26817896e-03 2.93473101e-02
 1.15825546e-04]"	"[1.41466613e+01 6.34274268e-02 3.97049487e-03 1.50334746e-03
 1.01312217e-04]"
33	True	15.834148645401001	27.25485729058405	0.023536436231459252	0.014622496813803579	8.676292365867475	2663.001464548065	0.0006549135887629259	`xtol` termination condition is satisfied.	"[2.35364362e-02 1.46224968e-02 8.67629237e+00 2.66300146e+03
 6.54913589e-04]"	"[8.39547489e-04 5.34634944e-03 1.28996211e+00 2.62531807e-03
 6.33478389e-02]"
193	True	10.051016330718994	27.269053348373262	0.02496197721217595	0.01554190010957855	0.20684699610326077	11.333151918799956	0.00011398375053044348	`xtol` termination condition is satisfied.	"[2.49619772e-02 1.55419001e-02 2.06846996e-01 1.13331519e+01
 1.13983751e-04]"	"[5.18325317e-01 2.40447275e-03 5.65829366e+00 1.22859394e+02
 4.64703126e-05]"
243	True	15.2962486743927	27.26984037923368	0.029540359085481204	0.01853797912993034	0.017473411938861056	0.9526447281228446	0.00011564003818332399	`xtol` termination condition is satisfied.	"[2.95403591e-02 1.85379791e-02 1.74734119e-02 9.52644728e-01
 1.15640038e-04]"	"[6.97261934e-03 1.12997610e-01 2.78211147e-04 6.27839609e-01
 3.42502803e+00]"
76	True	11.899087905883789	27.296892022902394	0.025596226832691762	0.015964838510808287	0.1197441138496509	36.15374203846461	0.0006387409545143853	`xtol` termination condition is satisfied.	"[2.55962268e-02 1.59648385e-02 1.19744114e-01 3.61537420e+01
 6.38740955e-04]"	"[5.25959712e-02 2.03083375e-03 8.62843241e-01 2.79877751e+01
 2.25826890e-01]"
162	True	10.492836236953735	27.31420695270809	0.02607300310199918	0.016299482097717456	0.8705803102415932	48.36348966994658	0.00011386400785860968	`xtol` termination condition is satisfied.	"[2.60730031e-02 1.62994821e-02 8.70580310e-01 4.83634897e+01
 1.13864008e-04]"	"[1.77873063e-04 9.41895710e-01 5.19121152e+00 5.41985078e-01
 5.70618749e-04]"
171	True	16.057697534561157	27.3150744539332	0.026799529805566383	0.016745245582522772	0.12325425493871522	6.80996147275246	0.000114486979597773	`xtol` termination condition is satisfied.	"[2.67995298e-02 1.67452456e-02 1.23254255e-01 6.80996147e+00
 1.14486980e-04]"	"[3.79827392e-04 1.17975563e-02 1.97051021e-04 6.41559699e+02
 1.36354262e-04]"
182	True	10.739358901977539	27.323659267588123	0.027329946603516255	0.017092060244837153	0.04330552951886836	12.724057112240118	0.0005994299694084321	`xtol` termination condition is satisfied.	"[2.73299466e-02 1.70920602e-02 4.33055295e-02 1.27240571e+01
 5.99429969e-04]"	"[5.91086472e-02 1.41490941e-02 6.75272071e-03 1.12812352e+03
 8.87099212e-02]"
87	True	13.095844030380249	27.324536213079398	0.02744554405899121	0.01716176862881667	0.036956343438973735	10.87490412977016	0.0006026705017191801	`xtol` termination condition is satisfied.	"[2.74455441e-02 1.71617686e-02 3.69563434e-02 1.08749041e+01
 6.02670502e-04]"	"[3.90094156e+01 5.73963236e-04 5.05366708e-03 8.72803648e+00
 8.71936024e+00]"
